Continent	Country	Region_Centre	YearoftheStudy	CharacteristicoftheStudyArea	Age_Group	NumParticipants	Asthma_Ever	Atopy
Africa	Ghana 	Kintampo 	2000	Rural	8-12	1354	15.8	1.7
Africa	Libya	Al Aziza	2001	Urban/Rural	7-11	154	9.1	5.8
Africa	Libya	Samno	2001	Urban/Rural	7-11	180	4.4	6.7
Africa	Uganda	Entebee	2015	Urban/Rural	0-9	2345	0.8	25
Africa	Ghana	Kumasi	2003	Urban/Rural	9-16	1848	5.2	13.6
Africa	South Africa	Cape Town	2003	Urban	6-14	359	13.6	18.4
Africa	Kenya	Kabati 	2002	Rural	9-15	136	3.9	10.9
Africa	Kenya	Thika 	2002	Urban	8-13	129	10.2	25.2
Africa	Nigeria	Ojo	1999	Urban/Rural	8-11	566	6	28.2
Asia	China	San Bu	1992	Urban/Rural	12-18	737	1.6	49
Asia	China 	Beijing 	1998	Urban	8-12	4214	6.4	23.9
Asia	China 	Guangzhou 	1998	Urban	8-12	3510	4.4	32
Asia	China 	Hong Kong 	1998	Urban	8-12	3011	7.9	45.3
Asia	India 	Mumbai 	2001	Urban	8-12	1658	4.8	6.4
Asia	Malaysia	Kota Kinabalu 	1992	Urban/Rural	12-18	409	3.3	63.9
Asia	Korea	Cheju Island	1998	Rural	16-18	2005	2.4	36.3
Europe	Albania  	Tirana	1999	Urban	8-12	1052	2.7	15
Europe	Denmark	Copenhagen	2001	Urban	7-17	480	11.9	19.4
Europe	Estonia 	Tallinn 	1997	Urban	8-12	971	2.5	14.6
Europe	Finland	Kuopio	2001	Rural	6-13	765	6.1	33.9
Europe	Georgia 	Tbilisi 	2002	Urban	8-12	1012	3.2	33
Europe	Germany 	Dresden 	1996	Urban	8-12	3023	3.6	25.7
Europe	Germany 	"Leipzig, Halle"	1992	Urban	9-10	3105	7.2	18.2
Europe	Germany 	Munich 	1996	Urban	8-12	3301	4.8	22.3
Europe	Greece	Crete	2001	Rural	7-18	797	4.4	24
Europe	Greece 	Athens 	2001	Urban	8-12	985	7.5	14.4
Europe	Greece 	Thessaloniki 	2001	Urban	8-12	1018	11.6	26.8
Europe	Iceland 	Reykjavik 	2000	Urban	8-12	937	22.9	23.5
Europe	Italy	Guardea	2001	Urban/Rural	9-11	101	26.7	31.7
Europe	Italy	Ronciglione	2003	Urban/Rural	8-11	166	18.9	31.7
